,type,region_name,total_area,bathrooms,bedrooms,iptu,parking_slots,price
1319,Casa,Vila Mariana,170,3,3,597,3,1200000
1320,Apartamento,Vila Mariana,34,1,1,0,0,475000
1321,Apartamento,Vila Mariana,86,3,2,300,2,1940000
1322,Apartamento,Vila Mariana,27,1,1,75,0,485000
1323,Casa,Vila Mariana,160,3,3,292,1,860000
1324,Apartamento,Vila Mariana,116,2,2,150,1,1290000
1325,Apartamento,Vila Mariana,44,1,1,120,0,650000
1326,Apartamento,Vila Mariana,103,2,2,197,1,795000
1327,Apartamento,Vila Mariana,89,2,2,355,2,890000
1328,Apartamento,Vila Mariana,78,2,3,176,1,805000
1329,Apartamento,Vila Mariana,140,4,3,1250,3,1430000
1330,Apartamento,Vila Mariana,37,1,1,59,1,459000
1331,Apartamento,Vila Mariana,161,4,3,920,3,4100000
1332,Casa,Vila Mariana,325,4,5,0,5,1557889
1333,Apartamento,Vila Mariana,37,1,1,0,1,640000
1334,Apartamento,Vila Mariana,112,3,3,290,1,950000
1335,Casa,Vila Mariana,200,3,6,276,2,1325000
1336,Apartamento,Vila Mariana,86,3,3,363,2,1000000
1337,Apartamento,Vila Mariana,40,1,1,253,0,583000
1338,Casa,Vila Mariana,180,5,4,501,10,2500000
1339,Apartamento,Vila Mariana,144,4,4,300,2,2180000
1340,Apartamento,Vila Mariana,98,2,3,626,2,1450000
1341,Apartamento,Vila Mariana,67,1,3,296,1,520000
1342,Apartamento,Vila Mariana,90,2,3,335,1,600000
1343,Apartamento,Vila Mariana,155,4,3,1000,2,3225000
1344,Casa,Vila Mariana,160,1,3,365,1,1200000
1345,Apartamento,Vila Mariana,59,2,2,84,1,930000
